WKT,name,description
"POINT (77.0949117 28.4620154)",blinkit,
"POINT (77.04601000000001 28.427039)",Blinkit sector 47,
"POINT (77.0410414 28.461018)",Blinkit online store,
"POINT (77.0864892 28.4728322)",Blinkit store,
"POINT (77.0728261 28.4131239)",Blinkit Store (Online) Sector 50,
"POINT (77.0565666 28.3909082)",BlinkIt Store(Dark Store),
"POINT (76.9410183 28.355486)",Blinkit Store (Online) Sector 50,
"POINT (77.0730846 28.4415063)",Blinkit warehouse,
"POINT (76.9638279 28.3806672)",BLINKIT GROFERS ES52,
"POINT (77.0452255 28.402609)",Blinkit Dark Store,
"POINT (77.0593135 28.406399)",Blinkit Dark Store,
"POINT (77.0359426 28.4176955)",Blinkit store sector 48,
"POINT (77.09427339999999 28.4769091)",Blinkit,
"POINT (77.0161043 28.5152728)",Blinkit Super Store Sec 112,
"POINT (76.9533702 28.4510914)",Blinkit godown,
"POINT (77.01067610000001 28.4738044)",Blinkit,
"POINT (76.9688137 28.4712896)",EARLY BASKET - Online and Offline grocery store in Gurgaon,
"POINT (77.10107409999999 28.4965995)",Tista Supermarket,
"POINT (76.9594585 28.3903648)",Sodhi's Supermarket,
"POINT (77.0099219 28.4530566)",The Daily Needs Grocery Store,
"POINT (77.05023539999999 28.4529713)",Real Bazaar - Grocery Store -Main HUDA Market - Gurgaon Sector-31,
"POINT (77.0419733 28.4077308)",Aman Departmental Store - Super Market,
"POINT (77.07183669999999 28.4136422)",Sodhi Super Market Nirvana Sector 50,
"POINT (77.0872699 28.4626378)",Needs Supermarket,
"POINT (77.0672266 28.4480827)",Urban Fresh Mart,
"POINT (77.030294 28.4616883)",Om General Store,
"POINT (77.0277545 28.4763812)",Nanak General Store,
"POINT (77.028053 28.4600959)",Rajan General Store,
"POINT (76.9997393 28.4307596)",Dev Kirana Store Gurgaon,
"POINT (77.022941 28.4514465)",Jyoti General Store,
"POINT (77.0947515 28.4433176)",BALAJI GENERAL STORE,
"POINT (77.0684333 28.4242455)",Navnit General Store Gurgaon,
"POINT (77.0282537 28.4590209)",Ramesh General Store,
"POINT (77.105696 28.425984)",Mohit General Store,
"POINT (77.0416546 28.47544999999999)",Murari Lal Kirana Store,
"POINT (77.0122769 28.4831791)",Mittal Kirana Store,
"POINT (77.071719 28.4488453)",SAINI KIRANA STORE,
"POINT (77.088884 28.4435374)",Bengali kirana & General store,
"POINT (77.0872148 28.4948554)",Modern Bazaar,
